_id,cin,Pipoca Normal Pequena,Pipoca Normal Média,Pipoca Normal Grande,Refrigerante 300ml,Refrigerante 500ml,Refrigerante 750ml,Chocolate Branco,Chocolate Normal
6851b8a515ab7cf278caa97d,1,10,,,,,,,
6851b8a515ab7cf278caa97e,1,,20,,,,,,
6851b8a515ab7cf278caa97f,1,,,30,,,,,
6851b8a515ab7cf278caa980,1,,,,5,,,,
6851b8a515ab7cf278caa981,1,,,,,10,,,
6851b8a515ab7cf278caa982,1,,,,,,20,,
6851b8a515ab7cf278caa983,1,,,,,,,5,
6851b8a515ab7cf278caa984,1,,,,,,,,5
6851b8a515ab7cf278caa985,2,5,,,,,,,
6851b8a515ab7cf278caa986,2,,10,,,,,,
6851b8a515ab7cf278caa987,2,,,20,,,,,
6851b8a515ab7cf278caa988,2,,,,3,,,,
6851b8a515ab7cf278caa989,2,,,,,7,,,
6851b8a515ab7cf278caa98a,2,,,,,,10,,
6851b8a515ab7cf278caa98b,2,,,,,,,2,
6851b8a515ab7cf278caa98c,2,,,,,,,,7
6851b8a515ab7cf278caa98d,3,3,,,,,,,
6851b8a515ab7cf278caa98e,3,,5,,,,,,
6851b8a515ab7cf278caa98f,3,,,7,,,,,
6851b8a515ab7cf278caa990,3,,,,4,,,,
6851b8a515ab7cf278caa991,3,,,,,7,,,
6851b8a515ab7cf278caa992,3,,,,,,12,,
6851b8a515ab7cf278caa993,3,,,,,,,5,
6851b8a515ab7cf278caa994,3,,,,,,,,5
6851b8a515ab7cf278caa995,4,8,,,,,,,
6851b8a515ab7cf278caa996,4,,9,,,,,,
6851b8a515ab7cf278caa997,4,,,10,,,,,
6851b8a515ab7cf278caa998,4,,,,6,,,,
6851b8a515ab7cf278caa999,4,,,,,7,,,
6851b8a515ab7cf278caa99a,4,,,,,,9,,
6851b8a515ab7cf278caa99b,4,,,,,,,3,
6851b8a515ab7cf278caa99c,4,,,,,,,,3
6851b8a515ab7cf278caa99d,5,12,,,,,,,
6851b8a515ab7cf278caa99e,5,,15,,,,,,
6851b8a515ab7cf278caa99f,5,,,17,,,,,
6851b8a515ab7cf278caa9a0,5,,,,10,,,,
6851b8a515ab7cf278caa9a1,5,,,,,12,,,
6851b8a515ab7cf278caa9a2,5,,,,,,17,,
6851b8a515ab7cf278caa9a3,5,,,,,,,5,
6851b8a515ab7cf278caa9a4,5,,,,,,,,5
